Billing Month,2007_02

CDR Source,Batch Name,Wholesale Value,Resale Value
Unitel,b0258475.csv,9137.9576,10983.546
Unitel,b0258721.csv,9269.6365,11157.3677
Unitel,b0258964.csv,11528.704,13662.4025
Unitel,b0259194.csv,2923.5805,4121.3429
Unitel,b0259436.csv,5392.2621,6915.3022
Unitel,b0259689.csv,7756.3268,9508.2213
Unitel,b0259938.csv,7574.0627,9169.7034
Unitel,b0260186.csv,7152.3598,8812.6909
Unitel,b0260465.csv,7860.8204,9191.3799
Unitel,b0260697.csv,7246.5419,8030.0935
Unitel,b0260930.csv,3013.8888,4202.2176
Unitel,b0261187.csv,4979.152,6317.2642
Unitel,b0261434.csv,8029.1842,9607.0539
Unitel,b0261694.csv,7807.9041,9489.9421
Unitel,b0261947.csv,7673.3286,9249.2012
Unitel,b0262190.csv,7400.9093,8833.6669
Unitel,b0262437.csv,5362.5179,6226.41
Unitel,b0262668.csv,3062.4067,4130.1458
Unitel,b0262919.csv,5453.6167,6974.7
Unitel,b0263171.csv,8959.2688,10881.6636
Unitel,b0263431.csv,6790.1324,8453.6577
Unitel,b0263682.csv,8331.3415,10150.1191
Unitel,b0263939.csv,7775.3481,9474.3566
Unitel,b0264246.csv,153.3226,263.2333
Unitel,b0264480.csv,7510.6559,9339.2051
Unitel,b0264737.csv,4841.9201,6236.7263
,W022051312.B02,0,0
,W022051312.B03,307.48,483.8735
,W022051312.B04,65.02,91.6696
,W022051312.B05,53.99,74.8109
,W022051312.B06,137.27,223.6498
,W022051312.B07,314.66,464.9676
,W022051312.B08,305.93,457.7117
,W022051312.B09,217.44,341.7615
,W022051312.B10,184.01,285.1397
,W022051312.B11,23.45,41.0948
,W022051312.B12,22.19,30.6231
,W022051312.B13,238.32,370.0529
,W022051312.B14,268.44,417.3913
,W022051312.B15,225.71,349.4983
,W022051312.B16,203.78,321.9125
,W022051312.B17,210.95,327.8324
,W022051312.B18,20.73,32.0658
,W022051312.B19,22.22,31.318
,W022051312.B20,223.71,352.1004
Unitel Mobile,b0258691.csv,693.9738,1097.2134
Unitel Mobile,b0258904.csv,491.6519,842.3575
Unitel Mobile,b0259161.csv,696.424,1222.9063
Unitel Mobile,b0259392.csv,681.6177,1135.8192
Unitel Mobile,b0259621.csv,561.9351,1065.6731
Unitel Mobile,b0259893.csv,584.7543,1006.3867
Unitel Mobile,b0260153.csv,565.2235,958.9456
Unitel Mobile,b0260424.csv,548.3674,997.3586
Unitel Mobile,b0260637.csv,446.7443,799.3657
Unitel Mobile,b0260893.csv,273.6678,549.3773
Unitel Mobile,b0261140.csv,287.6892,509.1461
Unitel Mobile,b0261342.csv,532.9235,1018.8677
Unitel Mobile,b0261662.csv,701.2168,1144.9577
Unitel Mobile,b0261912.csv,680.4792,1105.8306
Unitel Mobile,b0262141.csv,602.0069,1049.7098
Unitel Mobile,b0262404.csv,593.0005,1040.7497
Unitel Mobile,b0262626.csv,439.3776,760.2886
Unitel Mobile,b0262886.csv,259.4568,472.1572
Unitel Mobile,b0263091.csv,553.2556,945.4198
Unitel Mobile,b0263389.csv,601.5388,1020.1549
Unitel Mobile,b0263646.csv,549.8586,916.4195
Unitel Mobile,b0263899.csv,602.1735,992.2182
Unitel Mobile,b0264147.csv,639.7738,1024.9196
Unitel Mobile,b0264443.csv,330.6161,563.9313
Unitel Mobile,b0264697.csv,295.3027,471.2321
Unitel Mobile,b0264936.csv,557.0147,922.9474
Unitel Mobile,tap_sta1_23139716000139_20070201_000820_a_s.dat,5909.38,8783.8929
Unitel Mobile,tap_sta1_23139716000139_20070202_000821_a_s.dat,5821.31,8502.2655
Unitel Mobile,tap_STA1_23139716000139_20070202_000822_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070203_000823_a_s.dat,3463.59,4951.4779
Unitel Mobile,tap_sta1_23139716000139_20070204_000824_a_s.dat,1132.74,1712.5162
Unitel Mobile,tap_sta1_23139716000139_20070205_000825_a_s.dat,4692.04,7027.6569
Unitel Mobile,tap_sta1_23139716000139_20070206_000826_a_s.dat,6445.42,9465.027
Unitel Mobile,tap_sta1_23139716000139_20070207_000827_a_s.dat,6227.66,9136.111
Unitel Mobile,tap_STA1_23139716000139_20070207_000828_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070208_000829_a_s.dat,6230.9,9037.9258
Unitel Mobile,tap_STA1_23139716000139_20070208_000830_a_l.dat,0,0
Unitel Mobile,tap_sta1_23139716000139_20070209_000831_a_s.dat,6222.85,9283.7846
