Billing Month,2007_01

CDR Source,Batch Name,Wholesale Value,Resale Value
Unitel,b0251405.csv,4345.106,5512.8145
Unitel,b0251649.csv,5726.7288,7074.1772
Unitel,b0251888.csv,5245.0606,6470.5184
Unitel,b0252131.csv,5273.7281,6281.4925
Unitel,b0252431.csv,3266.3197,3919.8433
Unitel,b0252575.csv,2922.637,4012.8292
Unitel,b0252828.csv,5266.7685,6521.4134
Unitel,b0253068.csv,7859.5883,9587.76
Unitel,b0253320.csv,6965.4285,8492.2663
Unitel,b0253561.csv,13178.4642,14859.1073
Unitel,b0253809.csv,7035.8082,8077.0159
Unitel,b0254025.csv,156.1415,279.6246
Unitel,b0254245.csv,7329.9591,9099.5812
Unitel,b0254489.csv,5435.0953,6881.6558
Unitel,b0254732.csv,8231.4204,9724.4121
Unitel,b0254983.csv,7940.8208,9621.52
Unitel,b0255227.csv,7295.3983,9002.2402
Unitel,b0255469.csv,7722.9462,9089.4665
Unitel,b0255706.csv,170.7667,309.9333
Unitel,b0255917.csv,6941.3694,8612.9213
Unitel,b0256162.csv,5297.7477,6653.6333
Unitel,b0256403.csv,8070.1726,9686.6764
Unitel,b0256589.csv,7677.1698,9181.8515
Unitel,b0256990.csv,7099.6427,8261.8778
Unitel,b0257329.csv,0,0
Unitel,b0257478.csv,0,0
Unitel,b0257662.csv,2072.1355,2796.3258
Unitel,b0257795.csv,4510.4228,5811.4413
Unitel,b0258039.csv,8773.9106,10776.6591
Unitel,b0258233.csv,1232.0139,1935.1639
,W022051312.A01,16.26,26.056
,W022051312.A02,0,0
,W022051312.A03,154.94,250.5314
,W022051312.A04,206.83,296.2637
,W022051312.A05,169.75,269.8386
,W022051312.A06,177.85,272.2712
,W022051312.A07,33.43,49.9072
,W022051312.A08,5.59,11.8432
,W022051312.A09,225.14,345.2537
,W022051312.A10,249.34,374.4009
,W022051312.A11,209.04,326.1714
,W022051312.A12,224.11,331.4671
,W022051312.A13,243.72,364.7731
,W022051312.A14,34.29,52.5419
,W022051312.A15,13.62,19.2751
,W022051312.A16,237.73,355.9642
,W022051312.A17,236.1,368.8525
,W022051312.A18,246.45,364.5686
,W022051312.A19,224.35,350.3752
,W022051312.A20,226.74,339.7097
,W022051312.A21,31.2,49.6573
